x,y,z,yaw,velocity,change_flag
0.0067,-0.0089,0.0000,0.0150,0,0
0.2081,-0.0007,0.0000,0.0017,0.0598,0
0.4137,0.0120,0.0000,0.0015,0.1440,0
0.6162,0.0225,0.0000,0.0061,0.2410,0
0.8220,0.0100,0.0000,0.0096,0.1797,0
1.0233,0.0248,0.0000,0.0105,0.2301,0
1.2239,0.0359,0.0000,0.0100,0.2162,0
1.4307,0.0345,0.0000,0.0162,0.1692,0
1.6308,0.0283,0.0000,0.0218,0.1823,0
1.8308,0.0322,0.0000,0.0268,0.3213,0
2.0408,0.0416,0.0000,0.0331,0.2939,0
2.2522,0.0163,0.0000,-0.3386,0.3656,0
2.4285,-0.0948,0.0000,-0.7842,0.2149,0
2.5561,-0.2543,0.0000,-0.9475,0.1343,0
